Cohort,Responder_ID,Clinician_Role,Experience_Band,Case ID,Source_Dataset,GT,Unaided_Dx_Text,PRE_Differential_1,PRE_Differential_2,Unaided_Dx_Score,Unaided_Top3_SpotOn,Unaided_Top3_Generic,Unaided_Mgmt_Grade,Unaided_Dx_Confidence,Unaided_Mgmt_Confidence,AI_Top1_Prediction,AI_Top1_Confidence,AI_Top2_Prediction,AI_Top2_Confidence,AI_Top3_Prediction,AI_Top3_Confidence,Assisted_Dx_Text,POST_Differential_1,POST_Differential_2,Assisted_Dx_Score,Assisted_Top3_SpotOn,Assisted_Top3_Generic,Assisted_Mgmt_Grade,Assisted_Dx_Confidence,Assisted_Mgmt_Confidence,Changed_Diagnosis,Changed_Management
EN,24,NP,6-10,110,SNU-134,lymphangioma,lymphangioma,basal cell carcinoma,melanocytic nevus,5,True,False,Adequate,3,3,nummular eczema,0.9997652,bowen disease,0.00016864159,nevus spilus,4.985036e-05,lymphangioma,basal cell carcinoma,melanocytic nevus,5,True,False,Adequate,3,3,0.0,0.0
EN,24,NP,6-10,91,SNU-134,malignant melanoma,malignant melanoma,pigmented onychomycosis,don't know,5,True,False,Perfect,3,3,subungual hematoma,0.8558512,malignant melanoma,0.14414886,melanocytic nevus,5.2664526e-09,malignant melanoma,pigmented onychomycosis,don't know,5,True,False,Perfect,3,3,0.0,0.0
EN,24,NP,6-10,184,SNU-134,folliculitis,folisculitis,acne,atopic dermatitis,4,True,False,Adequate,3,3,folliculitis,0.99744654,acne,0.0025509056,staphylococcal scalded skin syndrome,2.3999642e-06,folisculitis,acne,atopic dermatitis,4,False,True,Adequate,3,3,0.0,0.0
EN,24,NP,6-10,122,SKINTONE,atopic dermatitis,cellulitis,atopic dermatitis,don't know,1,True,False,Adequate,3,3,atopic dermatitis,0.9998029,xerotic eczema,0.00019716943,exfoliative dermatitis,9.2885155e-10,cellulitis,atopic dermatitis,don't know,1,True,False,Adequate,3,3,0.0,0.0
EN,75,GP,2-5,95,SNU-134,lichen amyloidosis,Benign Melanocytic lesions,melanosis,scratch reaction,1,False,False,Inadequate and dangerous,3,3,folliculitis,0.73357,confluent and reticulated papillomatosis,0.26156244,lichen amyloidosis,0.002729649,folliculitis,reticulated papillomatosis,benign melanocytic lesion,1,False,False,Inadequate and dangerous,4,4,1.0,1.0
EN,24,NP,6-10,175,SNU-134,confluent and reticulated papillomatosis,confluent reticulated papilomatosis,atopic dermatitis inflammatory markers,psoriasis,5,True,False,Inadequate but harmless,3,3,epidermal nevus,0.9647521,becker nevus,0.03199633,congenital nevus,0.0026264184,confluent reticulated papilomatosis,atopic dermatitis inflammatory markers,psoriasis,5,True,False,Inadequate but harmless,3,3,0.0,0.0
EN,75,GP,2-5,60,SKINTONE,pityriasis rosea,folliculitis,drug reaction,scabies,1,False,False,Inadequate and dangerous,3,4,pityriasis rosea,1.0,drug eruption,1.1761791e-12,varicella,2.2447772e-13,pityriasis rosea,drug reaction,varicella,5,True,False,Adequate,3,5,1.0,1.0
EN,75,GP,2-5,174,SNU-134,drug eruption,purpura,SJS,cellulitis,2,False,True,Adequate,3,5,acute generalized exanthematous pustulosis,0.99992967,drug eruption,7.031184e-05,pustular psoriasis,1.1760963e-12,acute generalised exantematous pustulosis,drug eruption,pustular psoriasis,4,True,True,Adequate,4,5,1.0,1.0
EN,75,GP,2-5,171,SNU-134,tinea pedis,tinea pedis,exfoliative dermatitis,dermatitis,5,True,False,Perfect,4,4,tinea pedis,0.99999905,pompholyx,9.132548e-07,palmoplantar pustulosis,2.3222926e-08,tinea pedis,exfoliative dermatitis,dermatitis,5,True,False,Perfect,4,4,0.0,0.0
EN,75,GP,2-5,85,SNU-134,onychomycosis,Fungal nail,onychogryphosis,trauma,4,True,True,Inadequate but harmless,4,4,onychomycosis,1.0,tinea pedis,9.23745e-09,paronychia,2.8780153e-10,Fungal nail,onychogryphosis,trauma,4,True,True,Inadequate but harmless,4,4,0.0,0.0
EN,75,GP,2-5,33,SNU-134,congenital nevus,malignant melanoma,benign melanocytic lesion,basal cell carcinoma,1,False,True,Adequate,4,4,congenital nevus,0.9523771,nevus spilus,0.044543274,becker nevus,0.002847556,congential naevus,benign melanocytic lesion,spilus,5,True,False,Adequate,4,4,1.0,0.0
EN,75,GP,2-5,129,SNU-134,prurigo pigmentosa,Prurigo nodularis,melasma,melanosis,3,False,False,Inadequate but harmless,3,4,prurigo pigmentosa,0.62015307,becker nevus,0.37614188,confluent and reticulated papillomatosis,0.0035741108,Prurigo nodularis,melasma,melanosis,3,False,False,Inadequate but harmless,3,4,0.0,0.0
EN,75,GP,2-5,118,SNU-134,organoid nevus,herpes zoster,varicella,herpes simplex,1,False,False,Inadequate and dangerous,4,4,epidermal nevus,1.0,organoid nevus,1.7257829e-08,nevus spilus,1.30268925e-08,epidermal nevus,varicella,herpes simplex,3,False,True,Inadequate but harmless,4,4,1.0,1.0
EN,75,GP,2-5,90,SNU-134,erythema multiforme,drug eruption,sjs,angioedema,3,False,True,Adequate,3,4,erythema multiforme,0.9993043,urticaria,0.00058834563,erythema annulare centrifugum,6.810595e-05,erythema multiforme,drug eruption,angioedema urticaria,5,True,False,Adequate,3,4,1.0,0.0
EN,75,GP,2-5,10,SNU-134,juvenile xanthogranuloma,pustular granuloma,pyogenic granuloma,amelanotic melanoma,3,False,False,Inadequate but harmless,3,4,pyogenic granuloma,0.8840393,juvenile xanthogranuloma,0.11596071,hemangioma,4.377673e-12,pyogenic granuloma,xanthogranuloma,amelanotic melanoma,3,False,True,Inadequate but harmless,4,4,1.0,1.0
EN,75,GP,2-5,43,SNU-134,nevus spilus,congenital nevus,spitz,malignant melanoma,4,False,True,Inadequate and dangerous,4,4,nevus spilus,0.89219856,congenital nevus,0.09403703,becker nevus,0.013130513,congenital nevus,spitz,malignant melanoma,4,False,True,Inadequate and dangerous,4,4,0.0,0.0
EN,75,GP,2-5,4,SNU-134,confluent and reticulated papillomatosis,malassezia furfur,chronic dermatitis with melanosis,psoriasis,1,False,False,Inadequate but harmless,3,4,tinea versicolor,0.99974436,confluent and reticulated papillomatosis,0.0002378178,becker nevus,1.7774324e-05,malassezia furfur,chronic dermatitis with melanosis,psoriasis,1,False,False,Inadequate but harmless,3,4,0.0,0.0
EN,75,GP,2-5,57,SNU-134,acute generalized exanthematous pustulosis,pustulosis dermatitis,varicella,mpox,4,False,True,Adequate,3,5,acute generalized exanthematous pustulosis,0.8740772,pustular psoriasis,0.12592277,palmoplantar pustulosis,1.6757559e-10,acute generalized exanthematous pustulosis,pustulosis psoriasis dermatitis,varicella,5,True,False,Adequate,3,5,1.0,0.0
EN,75,GP,2-5,16,PASSION,scabies,lichen sclerosis,syphilis,herpes simplex,1,False,False,Inadequate and dangerous,3,4,scabies,0.99997234,folliculitis,2.7535689e-05,tinea cruris,1.2553859e-07,scabies,folliculitis,tinea cruris,5,True,False,Adequate,3,4,1.0,0.0
EN,75,GP,2-5,17,SNU-134,tinea faciale,actinic keratosis,sunburn,varicella,1,False,False,Inadequate and dangerous,3,4,tinea faciale,1.0,tinea corporis,5.5475197e-10,seborrheic dermatitis,7.063504e-14,tinea faciale,tinea corporis,seb derm,5,True,False,Adequate,3,5,1.0,0.0
EN,113,GP,>10,13,PASSION,scabies,kwashiorkor,psoriasis,don't know,1,False,False,Inadequate and dangerous,3,2,urticaria pigmentosa,0.99550736,scabies,0.0041975565,varicella,0.00020255426,urticaria pigmentosa,psoriasis,don't know,1,False,False,Inadequate and dangerous,3,3,1.0,1.0
EN,113,GP,>10,185,SNU-134,staphylococcal scalded skin syndrome,Perioral dermatitis,contact dermatitis,don't know,1,False,False,Inadequate and dangerous,3,3,staphylococcal scalded skin syndrome,0.98926115,herpes simplex,0.0055259676,impetigo,0.0028668342,Perioral dermatitis,herpes simplex,don't know,1,False,False,Inadequate and dangerous,2,3,1.0,0.0
EN,113,GP,>10,195,SNU-134,lupus erythematosus,Discoid lupus,impetigo,don't know,4,True,False,Adequate,3,4,lupus erythematosus,0.9999988,herpes simplex,1.2098657e-06,erythema multiforme,4.4069356e-08,Discoid lupus,impetigo,don't know,4,True,False,Adequate,4,5,0.0,0.0
EN,113,GP,>10,67,SNU-134,hemangioma,Purpura,don't know,don't know,1,False,False,Inadequate but harmless,2,2,hemangioma,0.57419926,pyogenic granuloma,0.35932472,angiokeratoma,0.06646839,hemangioma,don't know,don't know,5,True,False,Inadequate but harmless,3,2,1.0,0.0
EN,113,GP,>10,88,SKINTONE,lichen planus,lichen planus,Lichen sclerosus,psoriasis,5,True,False,Adequate,2,4,lichen planus,1.0,psoriasis,1.8982569e-11,pityriasis rosea,1.3327856e-12,lichen planus,Lichen sclerosus,psoriasis,5,True,False,Adequate,4,4,0.0,0.0
EN,113,GP,>10,86,SNU-134,vasculitis,Dermatitis,Drug reaction,don't know,1,False,False,Adequate,2,2,vasculitis,1.0,drug eruption,2.3859587e-10,urticaria pigmentosa,2.9738465e-13,vasculitis,Drug reaction,don't know,5,True,False,Adequate,3,3,1.0,0.0
EN,113,GP,>10,28,SNU-134,insect bite,Eczema,Erythema migrans,don't know,1,False,False,Inadequate and dangerous,2,3,insect bite,1.0,contact dermatitis,3.3647407e-10,vasculitis,1.1270471e-10,insect bite,vasculitis,don't know,5,True,False,Inadequate but harmless,2,3,1.0,1.0
EN,113,GP,>10,128,SNU-134,melanocytic nevus,malignant melanoma,Atypical naevus,don't know,1,False,False,Inadequate and dangerous,4,4,melanocytic nevus,0.99988794,nevus spilus,9.6100885e-05,seborrheic keratosis,6.3385405e-06,malignant melanoma,Atypical naevus,don't know,1,False,False,Inadequate and dangerous,4,4,0.0,0.0
EN,113,GP,>10,172,SNU-134,steatocystoma multiplex,Cysts,Birt Hogg Dube,don't know,4,False,True,adequate,2,3,steatocystoma multiplex,1.0,epidermal cyst,2.789468e-10,sebaceous hyperplasia,3.165643e-13,Steatocytoma multiplex,Birt Hogg Dube,don't know,5,True,False,Adequate,4,4,1.0,0.0
EN,113,GP,>10,148,SNU-134,vitiligo,vitiligo,don't know,don't know,5,True,False,Inadequate but harmless,4,4,vitiligo,0.99879336,tinea versicolor,0.0012065897,nevus spilus,2.6322888e-11,vitiligo,don't know,don't know,5,True,False,Inadequate but harmless,4,4,0.0,0.0
EN,113,GP,>10,68,SNU-134,onychomycosis,onychomycosis,don't know,don't know,5,True,False,adequate,4,4,onychomycosis,0.9590408,paronychia,0.040840883,subungual hematoma,0.000118355034,onychomycosis,don't know,don't know,5,True,False,adequate,4,4,0.0,0.0
EN,113,GP,>10,82,SKINTONE,atopic dermatitis,vasculitis,Staph infection,don't know,1,False,False,Inadequate and dangerous,3,4,nummular eczema,0.9995571,contact dermatitis,0.00035693994,xerotic eczema,8.4780666e-05,Eczema,Staph infection,don't know,4,True,True,adequate,3,4,1.0,1.0
EN,113,GP,>10,49,SNU-134,herpes zoster,impetigo,Leprosy,don't know,1,False,False,Inadequate and dangerous,3,4,prurigo pigmentosa,0.987508,herpes zoster,0.012430891,pyoderma gangrenosum,5.9393802e-05,impetigo,Leprosy,don't know,1,False,False,Inadequate and dangerous,3,4,0.0,0.0
EN,113,GP,>10,103,SNU-134,tinea faciale,Dermatitis,don't know,don't know,2,False,False,Inadequate but harmless,2,2,tinea faciale,0.99997723,tinea corporis,2.2827999e-05,seborrheic dermatitis,5.0086603e-14,tinea faciale,don't know,don't know,5,True,False,adequate,3,3,1.0,1.0
EN,113,GP,>10,4,SNU-134,confluent and reticulated papillomatosis,Eczema,Pityriasis versicolour,don't know,1,False,False,Inadequate but harmless,2,3,tinea versicolor,0.99974436,confluent and reticulated papillomatosis,0.0002378178,becker nevus,1.7774324e-05,Eczema,Pityriasis versicolour,don't know,1,False,False,Inadequate but harmless,3,3,0.0,1.0
EN,113,GP,>10,23,SNU-134,amyloidosis,Eczema,don't know,don't know,1,False,False,Inadequate and dangerous,3,4,becker nevus,0.93455005,prurigo pigmentosa,0.046528503,confluent and reticulated papillomatosis,0.018220825,Eczema,don't know,don't know,1,False,False,Inadequate and dangerous,3,4,0.0,0.0
EN,113,GP,>10,43,SNU-134,nevus spilus,congenital nevus,Beckers naevus,don't know,4,False,True,Perfect,4,4,nevus spilus,0.89219856,congenital nevus,0.09403703,becker nevus,0.013130513,congenital nevus,Beckers naevus,don't know,4,False,True,Perfect,4,4,0.0,0.0
EN,113,GP,>10,26,SNU-134,vasculitis,Eczema,don't know,don't know,1,False,False,Inadequate and dangerous,3,3,juvenile xanthogranuloma,0.7474468,vasculitis,0.25036332,urticaria pigmentosa,0.0016869348,Eczema,don't know,don't know,1,False,False,Inadequate and dangerous,3,3,0.0,0.0
EN,113,GP,>10,5,SNU-134,keratoacanthoma,keratoacanthoma,squamous cell carcinoma,don't know,5,True,False,Adequate,5,5,keratoacanthoma,0.99944717,squamous cell carcinoma,0.0005527786,actinic keratosis,7.0808845e-20,keratoacanthoma,squamous cell carcinoma,don't know,5,True,False,Adequate,5,5,0.0,0.0
EN,113,GP,>10,117,SNU-134,urticaria pigmentosa,Purpura,don't know,don't know,1,False,False,Inadequate and dangerous,2,3,urticaria pigmentosa,0.99998736,juvenile xanthogranuloma,1.2606945e-05,congenital nevus,1.186097e-08,urticaria pigmentosa,don't know,don't know,5,True,False,Inadequate but harmless,3,3,1.0,1.0
EN,113,GP,>10,12,SNU-134,basal cell carcinoma,Pigmented BCC,malignant melanoma,don't know,5,True,False,Adequate,4,4,basal cell carcinoma,0.99990976,blue nevus,9.0280395e-05,malignant melanoma,4.413181e-11,Pigmented BCC,malignant melanoma,don't know,5,True,False,Adequate,4,4,0.0,0.0
EN,113,GP,>10,84,SNU-134,seborrheic dermatitis,seborrheic dermatitis,Eczema,psoriasis,5,True,False,Perfect,3,3,seborrheic dermatitis,0.99965405,alopecia areata,0.0003459916,folliculitis,5.158212e-11,seborrheic dermatitis,Eczema,psoriasis,5,True,False,Perfect,4,4,0.0,0.0
EN,113,GP,>10,27,SNU-134,hand eczema,Dermatitis,pompholyx,don't know,4,True,True,Adequate,3,3,granuloma annulare,0.9999368,lupus erythematosus,5.3074542e-05,hand eczema,1.0129453e-05,Dermatitis,pompholyx,don't know,4,True,True,Adequate,3,3,0.0,0.0
EN,113,GP,>10,190,SKINTONE,pityriasis rosea,pityriasis rosea,don't know,don't know,5,True,False,adequate,4,4,psoriasis,0.99939203,pityriasis rosea,0.0005702942,pustular psoriasis,3.761498e-05,pityriasis rosea,don't know,don't know,5,True,False,adequate,4,4,0.0,0.0
EN,113,GP,>10,85,SNU-134,onychomycosis,Onychogryphosis,Onychycomycosis,don't know,3,True,True,Adequate,3,3,onychomycosis,1.0,tinea pedis,9.23745e-09,paronychia,2.8780153e-10,Onychogryphosis,Onychycomycosis,don't know,3,True,True,adequate,3,3,0.0,0.0
EN,113,GP,>10,138,SNU-134,wart,wart,squamous cell carcinoma,don't know,5,True,False,Inadequate but harmless,3,3,wart,0.9101248,verruca plana,0.07952581,skin tag,0.009498005,wart,squamous cell carcinoma,don't know,5,True,False,Inadequate but harmless,4,4,0.0,0.0
EN,113,GP,>10,134,SNU-134,lichen amyloidosis,Cowdens,don't know,don't know,1,False,False,Adequate,3,3,lichen amyloidosis,0.99998736,amyloidosis,1.2606945e-05,lichen simplex chronicus,2.51475e-11,lichen amyloidosis,don't know,don't know,5,True,False,Adequate,3,3,1.0,0.0
EN,113,GP,>10,36,SNU-134,tinea cruris,tinea corporis,Erythema marginale,don't know,3,False,True,Inadequate but harmless,3,3,erythema annulare centrifugum,0.9896498,granuloma annulare,0.008298719,tinea corporis,0.0018516944,tinea corporis,Annular Erythema,don't know,3,False,True,Inadequate but harmless,3,3,0.0,0.0
EN,113,GP,>10,112,SNU-134,xanthelasma,Xanthogranuloma,don't know,don't know,2,False,False,Inadequate and dangerous,4,4,vitiligo,0.98934746,xanthelasma,0.010652511,morphea,8.394081e-16,Xanthogranuloma,xanthelasma,don't know,3,True,False,Inadequate and dangerous,4,4,0.0,0.0
EN,113,GP,>10,196,SNU-134,actinic keratosis,basal cell carcinoma,malignant melanoma,squamous cell carcinoma,1,False,False,adequate,4,4,basal cell carcinoma,0.9862732,malignant melanoma,0.013635593,squamous cell carcinoma,8.904917e-05,basal cell carcinoma,malignant melanoma,squamous cell carcinoma,1,False,False,adequate,4,4,0.0,0.0
EN,115,GP,6-10,122,SKINTONE,atopic dermatitis,eczema,contact dermatitis,don't know,4,False,True,Adequate,5,5,atopic dermatitis,0.9998029,xerotic eczema,0.00019716943,exfoliative dermatitis,9.2885155e-10,eczema,contact dermatitis,don't know,4,False,True,adequate,5,5,0.0,0.0
EN,115,GP,6-10,128,SNU-134,melanocytic nevus,nevus,malignant melanoma,don't know,4,True,True,Inadequate but harmless,3,3,melanocytic nevus,0.99988794,nevus spilus,9.6100885e-05,seborrheic keratosis,6.3385405e-06,nevus,malignant melanoma,don't know,4,True,True,Inadequate but harmless,3,3,0.0,0.0
EN,115,GP,6-10,118,SNU-134,organoid nevus,sebaceous nevus,herpes zoster,epidermal nevus,5,True,True,Inadequate but harmless,3,3,epidermal nevus,1.0,organoid nevus,1.7257829e-08,nevus spilus,1.30268925e-08,sebaceous nevus,herpes zoster,epidermal nevus,5,True,True,Inadequate and dangerous,4,4,0.0,1.0
EN,115,GP,6-10,56,SNU-134,neurofibroma,neurofibroma,benign nevus,skin tag,5,True,False,Perfect,3,3,juvenile xanthogranuloma,0.69211155,neurofibroma,0.2626959,epidermal cyst,0.033398036,neurofibroma,benign nevus,skin tag,5,True,False,Perfect,3,3,0.0,0.0
EN,115,GP,6-10,43,SNU-134,nevus spilus,nevus spills,don't know,don't know,4,True,False,Inadequate but harmless,5,5,nevus spilus,0.89219856,congenital nevus,0.09403703,becker nevus,0.013130513,nevus spills,don't know,don't know,4,True,False,Inadequate but harmless,5,5,0.0,0.0
EN,115,GP,6-10,185,SNU-134,staphylococcal scalded skin syndrome,staph scalded skin/bullous impetigo,herpes simplex,contact dermatitis with vesicles,4,True,False,Inadequate but harmless,3,3,staphylococcal scalded skin syndrome,0.98926115,herpes simplex,0.0055259676,impetigo,0.0028668342,staph scalded skin/bullous impetigo,herpes simplex,contact dermatitis with vesicles,4,True,False,Inadequate but harmless,4,4,0.0,0.0
EN,115,GP,6-10,150,SNU-134,folliculitis,folliculitis,acne,malassezia,5,True,False,Perfect,3,5,acne,0.9899822,folliculitis,0.010013528,steatocystoma multiplex,4.3132522e-06,folliculitis,acne,malassezia,5,True,False,Perfect,2,5,0.0,0.0
EN,115,GP,6-10,12,SNU-134,basal cell carcinoma,pig BCC,malignant melanoma,blue nevus,5,True,False,Adequate,2,5,basal cell carcinoma,0.99990976,blue nevus,9.0280395e-05,malignant melanoma,4.413181e-11,pig BCC,malignant melanoma,blue nevus,5,True,False,Adequate,4,5,0.0,0.0
EN,115,GP,6-10,169,SNU-134,neurofibromatosis,neurofibromas ( other stigmata of NF),pink nevi in a person with NF,Inflammatory.papules in a person with NF,4,True,False,Inadequate and dangerous,4,4,urticaria pigmentosa,0.98613065,neurofibromatosis,0.013214158,neurofibroma,0.0004966046,neurofibromas ( other stigmata of NF),pink nevi in a person with NF,Inflammatory.papules in a person with NF,4,True,False,Inadequate and dangerous,4,4,0.0,0.0
EN,115,GP,6-10,100,SNU-134,erythema annulare centrifugum,erythema multiforme,erythema annulare centrifugum,other annular erythemas,3,True,False,adequate,2,5,erythema annulare centrifugum,0.9998977,tinea corporis,0.000102299855,erythema multiforme,2.3586242e-08,erythema multiforme,erythema annulare centrifugum,other annular erythemas,3,True,False,adequate,2,5,0.0,0.0
EN,115,GP,6-10,91,SNU-134,malignant melanoma,acral melanoma,don't know,don't know,4,True,True,Adequate,5,5,subungual hematoma,0.8558512,malignant melanoma,0.14414886,melanocytic nevus,5.2664526e-09,acral melanoma,don't know,don't know,4,True,True,Adequate,5,5,0.0,0.0
EN,115,GP,6-10,18,SNU-134,pustular psoriasis,palmoplantar psoriasis,palmoplantar keratoderma,contact dermatitis,4,True,False,Inadequate but harmless,4,3,palmoplantar pustulosis,1.0,pustular psoriasis,1.1628234e-10,tinea pedis,4.15242e-14,palmoplantar psoriasis,palmoplantar keratoderma,contact dermatitis,4,True,True,Inadequate but harmless,4,3,0.0,0.0
EN,115,GP,6-10,129,SNU-134,prurigo pigmentosa,prurigo pimentos,phytophoto dermatitis,confluent and reticulated papillomatosis,4,True,False,Inadequate but harmless,1,4,prurigo pigmentosa,0.62015307,becker nevus,0.37614188,confluent and reticulated papillomatosis,0.0035741108,prurigo pimentos,phytophoto dermatitis,confluent and reticulated papillomatosis,4,True,False,Inadequate but harmless,3,4,0.0,0.0
EN,115,GP,6-10,39,SNU-134,abscess,boil /abscess,inflammation to a ? sting superior,don't know,5,True,False,Perfect,3,4,inflamed cyst,0.9994961,furuncle,0.00040444126,epidermal cyst,7.0281356e-05,boil /abscess,inflamed cyst,inflammation from sting etc,5,True,False,Perfect,3,4,0.0,0.0
EN,115,GP,6-10,59,SNU-134,herpes zoster,are those vesicles on temple/eyelid?  Zoster and refer opthal,acne -unusual eg occupational,don't know,4,True,False,Adequate,2,3,varicella,0.99999964,erythema multiforme,3.059022e-07,herpes zoster,2.7191263e-11,are those vesicles on temple/eyelid?  Zoster and refer opthal,acne -unusual eg occupational,don't know,4,False,True,Adequate,4,5,0.0,0.0
EN,115,GP,6-10,10,SNU-134,juvenile xanthogranuloma,juvenile xanthogranuloma,pyogenic granuloma,traumatised  lesion with haemorrhage,5,True,False,Inadequate but harmless,1,4,pyogenic granuloma,0.8840393,juvenile xanthogranuloma,0.11596071,hemangioma,4.377673e-12,juvenile xanthogranuloma,pyogenic granuloma,traumatised  lesion with haemorrhage,5,True,False,Inadequate but harmless,1,4,0.0,0.0
EN,115,GP,6-10,162,SNU-134,eczema herpeticum,eczema herpeticum,excoriated eczema,don't know,5,True,False,Adequate,5,5,atopic dermatitis,0.9867155,varicella,0.0093757985,eczema herpeticum,0.003908414,eczema herpeticum,excoriated eczema,don't know,5,True,False,Adequate,5,5,0.0,0.0
EN,115,GP,6-10,83,SNU-134,xerotic eczema,stasis dermatitis,eczema craquelee,lichen simplex chronics,3,False,True,Inadequate but harmless,3,3,nummular eczema,0.9999987,lichen planus,1.1726419e-06,lichen simplex chronicus,1.4908468e-07,eczema craquelee,lichen plants,lichen simplex chronicus,4,False,True,Inadequate but harmless,3,3,1.0,0.0
EN,115,GP,6-10,87,SKINTONE,atopic dermatitis,eczema herpeticum,bilateral vesicular rash of infective origin,contact dermatitis causes vesicles,1,False,False,Inadequate but harmless,2,5,atopic dermatitis,0.99701905,eczema herpeticum,0.002981033,contact dermatitis,3.1156734e-08,eczema herpeticum,bilateral vesicular rash of infective origin,contact dermatitis causes vesicles,1,False,False,adequate,4,5,0.0,0.0
EN,115,GP,6-10,14,SNU-134,herpes simplex,tinea faceii/barbae,staph infection,don't know,1,False,False,Inadequate and dangerous,4,5,folliculitis,0.8901158,herpes simplex,0.106309175,impetigo,0.0034173029,herpes simplex,staph,tinea faceii - superinfected,5,True,False,adequate,3,5,1.0,0.0
EN,115,GP,6-10,120,SNU-134,verruca plana,warts,syringomas ( are those eyelashes),don't know,4,True,True,Inadequate but harmless,3,3,sebaceous hyperplasia,0.9019066,verruca plana,0.0980778,wart,1.5541538e-05,verruca plana- it has formalised my subtype of wart,syringomas ( are those eyelashes),don't know,5,True,False,Inadequate but harmless,3,3,1.0,0.0
EN,115,GP,6-10,68,SNU-134,onychomycosis,onochymycosis,onychogryphosis,don't know,5,True,False,adequate,3,3,onychomycosis,0.9590408,paronychia,0.040840883,subungual hematoma,0.000118355034,onochymycosis,onychogryphosis,don't know,5,True,False,adequate,3,3,0.0,0.0
