Case ID,GT,Responder_ID,User Role,Years_Derm_Experience,Age_Bracket,Gender,Country,Unaided_Dx_Score,Unaided_Dx_Reason,Unaided_Dx_Confidence,Unaided_Top3_SpotOn,Unaided_Top3_Generic,Unaided_Mgmt_Grade,Unaided_Mgmt_Reason,Unaided_Mgmt_Confidence,Assisted_Dx_Score,Assisted_Dx_Reason,Assisted_Dx_Confidence,Assisted_Top3_SpotOn,Assisted_Top3_Generic,Assisted_Mgmt_Grade,Assisted_Mgmt_Reason,Assisted_Mgmt_Confidence,AI_Trust_Score,Changed_Diagnosis,Changed_Management
17,Disease_5,2,GP,1-2,25-34,Female,DEMO,3,Demo,3,False,True,Perfect,Demo,4,4,Demo,1,True,True,Inadequate but harmless,Demo,2,4,False,True
18,Disease_19,2,GP,6-10,35-44,Male,DEMO,2,Demo,2,True,False,Inadequate and dangerous,Demo,1,2,Demo,1,True,True,Adequate,Demo,3,4,False,False
19,Disease_12,2,GP,6-10,25-34,Male,DEMO,4,Demo,1,True,False,Inadequate but harmless,Demo,3,4,Demo,3,True,True,Inadequate but harmless,Demo,2,2,False,True
20,Disease_17,2,GP,>10,35-44,Female,DEMO,4,Demo,4,True,False,Adequate,Demo,3,5,Demo,4,True,True,Adequate,Demo,3,1,False,True
21,Disease_5,2,GP,6-10,35-44,Female,DEMO,5,Demo,3,True,False,Adequate,Demo,4,5,Demo,2,True,False,Perfect,Demo,3,4,True,True
22,Disease_7,2,GP,0,45-54,Female,DEMO,5,Demo,2,True,False,Inadequate and dangerous,Demo,2,5,Demo,4,True,False,Adequate,Demo,2,4,False,True
23,Disease_7,2,GP,1-2,35-44,Female,DEMO,4,Demo,2,True,False,Inadequate but harmless,Demo,2,5,Demo,4,True,False,Perfect,Demo,1,2,False,False
24,Disease_12,2,GP,>10,55-64,Male,DEMO,4,Demo,3,True,True,Perfect,Demo,2,4,Demo,3,True,False,Adequate,Demo,3,5,False,True
25,Disease_3,2,GP,3-5,55-64,Male,DEMO,3,Demo,1,False,True,Inadequate but harmless,Demo,3,3,Demo,4,False,False,Perfect,Demo,4,5,False,False
26,Disease_2,2,GP,6-10,55-64,Male,DEMO,3,Demo,3,False,False,Inadequate but harmless,Demo,3,3,Demo,3,True,True,Adequate,Demo,4,5,False,False
27,Disease_1,2,GP,0,55-64,Female,DEMO,2,Demo,4,False,False,Inadequate and dangerous,Demo,4,3,Demo,1,False,False,Perfect,Demo,1,2,False,False
28,Disease_9,2,GP,6-10,25-34,Female,DEMO,1,Demo,2,False,False,Adequate,Demo,3,1,Demo,1,True,False,Inadequate but harmless,Demo,3,3,False,False
29,Disease_15,2,GP,6-10,25-34,Male,DEMO,5,Demo,4,True,False,Adequate,Demo,2,5,Demo,2,True,False,Inadequate and dangerous,Demo,2,5,False,False
30,Disease_1,2,GP,3-5,35-44,Female,DEMO,2,Demo,2,False,False,Adequate,Demo,3,2,Demo,1,False,False,Perfect,Demo,1,4,False,True
31,Disease_6,2,GP,>10,45-54,Female,DEMO,1,Demo,2,True,False,Adequate,Demo,4,1,Demo,3,True,False,Perfect,Demo,2,5,True,False
32,Disease_11,2,GP,0,35-44,Female,DEMO,3,Demo,3,False,False,Perfect,Demo,3,4,Demo,2,True,False,Inadequate and dangerous,Demo,3,2,False,False
33,Disease_3,2,GP,3-5,35-44,Female,DEMO,3,Demo,2,False,False,Adequate,Demo,1,3,Demo,1,False,False,Adequate,Demo,1,2,True,False
34,Disease_16,2,GP,0,45-54,Female,DEMO,5,Demo,1,True,False,Adequate,Demo,1,5,Demo,2,True,False,Adequate,Demo,4,5,True,False
35,Disease_16,2,GP,3-5,25-34,Female,DEMO,1,Demo,2,False,False,Adequate,Demo,2,2,Demo,3,False,True,Perfect,Demo,4,1,False,True
36,Disease_8,2,GP,1-2,35-44,Male,DEMO,1,Demo,2,False,False,Adequate,Demo,3,3,Demo,2,False,False,Perfect,Demo,4,4,True,True
37,Disease_16,2,GP,>10,25-34,Male,DEMO,1,Demo,1,False,True,Perfect,Demo,1,2,Demo,2,True,False,Adequate,Demo,4,4,False,False
38,Disease_9,2,GP,3-5,35-44,Female,DEMO,5,Demo,2,True,False,Perfect,Demo,1,5,Demo,3,True,False,Inadequate but harmless,Demo,2,5,False,False
39,Disease_18,2,GP,1-2,55-64,Female,DEMO,4,Demo,1,True,False,Perfect,Demo,4,5,Demo,1,True,True,Adequate,Demo,1,4,False,True
40,Disease_12,2,GP,>10,35-44,Male,DEMO,4,Demo,1,True,True,Perfect,Demo,4,5,Demo,4,True,True,Adequate,Demo,3,1,True,False
41,Disease_1,2,GP,1-2,45-54,Female,DEMO,4,Demo,3,True,False,Inadequate and dangerous,Demo,3,4,Demo,2,True,False,Perfect,Demo,2,3,False,False
42,Disease_16,2,GP,1-2,25-34,Male,DEMO,5,Demo,3,True,True,Adequate,Demo,1,5,Demo,4,True,True,Adequate,Demo,4,3,False,True
43,Disease_19,2,GP,3-5,25-34,Female,DEMO,1,Demo,1,False,True,Inadequate and dangerous,Demo,4,1,Demo,4,False,False,Adequate,Demo,1,2,False,False
44,Disease_7,2,GP,>10,35-44,Female,DEMO,4,Demo,1,True,False,Adequate,Demo,3,5,Demo,1,True,False,Adequate,Demo,2,4,True,False
45,Disease_15,2,GP,3-5,55-64,Female,DEMO,4,Demo,3,True,True,Perfect,Demo,2,4,Demo,4,True,False,Adequate,Demo,2,4,False,False
46,Disease_10,3,GP,0,25-34,Male,DEMO,3,Demo,4,False,True,Inadequate but harmless,Demo,1,5,Demo,1,True,False,Perfect,Demo,3,2,True,False
47,Disease_12,3,GP,3-5,35-44,Male,DEMO,4,Demo,3,True,False,Inadequate and dangerous,Demo,2,4,Demo,1,True,False,Perfect,Demo,4,2,True,False
48,Disease_8,3,GP,6-10,35-44,Female,DEMO,1,Demo,1,False,True,Perfect,Demo,1,1,Demo,2,True,True,Adequate,Demo,2,2,True,False
49,Disease_14,3,GP,6-10,25-34,Male,DEMO,3,Demo,1,False,False,Inadequate and dangerous,Demo,3,3,Demo,1,False,True,Inadequate but harmless,Demo,4,4,False,True
50,Disease_11,3,GP,0,35-44,Male,DEMO,3,Demo,2,True,True,Adequate,Demo,3,3,Demo,3,False,False,Adequate,Demo,2,5,False,False
51,Disease_4,3,GP,1-2,45-54,Male,DEMO,5,Demo,2,True,False,Inadequate and dangerous,Demo,4,5,Demo,4,True,True,Perfect,Demo,3,2,False,True
52,Disease_15,3,GP,0,45-54,Female,DEMO,4,Demo,4,True,False,Adequate,Demo,3,5,Demo,4,True,True,Inadequate and dangerous,Demo,4,2,False,False
53,Disease_5,3,GP,3-5,25-34,Male,DEMO,2,Demo,4,False,False,Adequate,Demo,4,3,Demo,4,True,True,Perfect,Demo,1,1,False,False
54,Disease_1,3,GP,3-5,35-44,Female,DEMO,5,Demo,1,True,False,Adequate,Demo,3,5,Demo,1,True,False,Adequate,Demo,2,2,False,False
55,Disease_8,3,GP,6-10,35-44,Male,DEMO,3,Demo,3,False,True,Inadequate but harmless,Demo,2,4,Demo,2,True,False,Adequate,Demo,4,3,False,False
56,Disease_10,3,GP,>10,45-54,Male,DEMO,3,Demo,1,False,True,Adequate,Demo,1,3,Demo,2,False,False,Adequate,Demo,2,3,True,False
57,Disease_17,3,GP,3-5,45-54,Female,DEMO,4,Demo,3,True,False,Perfect,Demo,3,4,Demo,3,True,True,Adequate,Demo,1,3,True,False
58,Disease_3,3,GP,6-10,45-54,Male,DEMO,1,Demo,2,True,True,Inadequate but harmless,Demo,2,2,Demo,3,False,False,Adequate,Demo,3,2,True,False
59,Disease_8,3,GP,1-2,25-34,Male,DEMO,2,Demo,2,False,False,Adequate,Demo,1,2,Demo,1,False,False,Adequate,Demo,1,5,False,False
60,Disease_12,3,GP,6-10,55-64,Male,DEMO,5,Demo,1,True,False,Inadequate and dangerous,Demo,4,5,Demo,3,True,False,Perfect,Demo,4,5,True,False
61,Disease_14,3,GP,>10,45-54,Female,DEMO,1,Demo,4,False,True,Inadequate and dangerous,Demo,2,1,Demo,4,False,False,Perfect,Demo,3,5,False,True
62,Disease_18,3,GP,0,35-44,Male,DEMO,3,Demo,4,False,True,Inadequate but harmless,Demo,3,3,Demo,1,True,False,Perfect,Demo,3,4,False,True
63,Disease_2,3,GP,>10,25-34,Male,DEMO,4,Demo,2,True,False,Perfect,Demo,3,5,Demo,1,True,False,Perfect,Demo,4,2,False,False
64,Disease_16,3,GP,6-10,25-34,Female,DEMO,2,Demo,2,True,True,Adequate,Demo,4,2,Demo,3,False,False,Perfect,Demo,1,5,True,False
65,Disease_7,3,GP,6-10,35-44,Male,DEMO,5,Demo,4,True,True,Adequate,Demo,2,5,Demo,2,True,False,Perfect,Demo,3,1,True,True
66,Disease_7,4,GP,>10,35-44,Male,DEMO,3,Demo,2,False,False,Perfect,Demo,2,3,Demo,1,False,True,Adequate,Demo,1,3,True,False
67,Disease_11,4,GP,3-5,55-64,Female,DEMO,3,Demo,1,True,False,Inadequate but harmless,Demo,4,3,Demo,3,True,True,Adequate,Demo,4,4,True,False
68,Disease_2,4,GP,0,55-64,Male,DEMO,3,Demo,1,True,True,Adequate,Demo,3,3,Demo,1,False,False,Perfect,Demo,1,2,False,False
69,Disease_7,4,GP,1-2,45-54,Female,DEMO,5,Demo,3,True,False,Inadequate and dangerous,Demo,1,5,Demo,2,True,False,Inadequate and dangerous,Demo,4,5,False,False
70,Disease_9,4,GP,6-10,45-54,Female,DEMO,3,Demo,4,True,True,Adequate,Demo,3,3,Demo,2,False,True,Inadequate and dangerous,Demo,3,3,False,False
71,Disease_5,4,GP,>10,45-54,Male,DEMO,3,Demo,2,True,True,Inadequate but harmless,Demo,4,3,Demo,3,True,False,Perfect,Demo,2,3,False,False
72,Disease_18,4,GP,1-2,45-54,Male,DEMO,3,Demo,3,False,True,Adequate,Demo,3,3,Demo,1,False,False,Adequate,Demo,3,1,False,False
73,Disease_18,4,GP,>10,25-34,Female,DEMO,1,Demo,4,True,False,Adequate,Demo,3,2,Demo,3,True,True,Inadequate but harmless,Demo,1,3,True,False
74,Disease_12,4,GP,>10,35-44,Female,DEMO,2,Demo,3,True,False,Inadequate but harmless,Demo,3,3,Demo,2,False,False,Inadequate and dangerous,Demo,1,3,True,False
75,Disease_15,4,GP,3-5,35-44,Female,DEMO,1,Demo,4,True,True,Perfect,Demo,1,1,Demo,3,False,True,Perfect,Demo,3,5,False,False
76,Disease_18,4,GP,6-10,55-64,Female,DEMO,1,Demo,2,True,False,Adequate,Demo,4,3,Demo,3,True,False,Inadequate but harmless,Demo,2,2,True,False
77,Disease_7,4,GP,6-10,45-54,Female,DEMO,4,Demo,1,True,True,Perfect,Demo,2,4,Demo,4,True,True,Perfect,Demo,4,5,False,True
78,Disease_11,4,GP,3-5,45-54,Male,DEMO,3,Demo,3,False,False,Inadequate and dangerous,Demo,2,4,Demo,3,True,False,Perfect,Demo,2,1,True,False
79,Disease_19,4,GP,3-5,55-64,Female,DEMO,4,Demo,3,True,False,Inadequate and dangerous,Demo,4,4,Demo,1,True,False,Perfect,Demo,4,2,False,False
80,Disease_6,4,GP,3-5,45-54,Female,DEMO,2,Demo,4,False,False,Adequate,Demo,1,2,Demo,3,True,True,Adequate,Demo,2,4,False,False
81,Disease_8,5,GP,>10,45-54,Female,DEMO,4,Demo,3,True,True,Adequate,Demo,2,5,Demo,4,True,True,Inadequate but harmless,Demo,4,1,True,False
82,Disease_15,5,GP,>10,35-44,Female,DEMO,4,Demo,2,True,False,Adequate,Demo,3,5,Demo,2,True,False,Adequate,Demo,3,3,False,True
83,Disease_8,5,GP,1-2,55-64,Male,DEMO,4,Demo,4,True,False,Perfect,Demo,2,5,Demo,4,True,False,Adequate,Demo,1,4,True,False
84,Disease_13,5,GP,0,55-64,Male,DEMO,3,Demo,3,False,True,Inadequate and dangerous,Demo,1,3,Demo,1,False,False,Adequate,Demo,1,1,True,False
85,Disease_7,5,GP,0,55-64,Female,DEMO,3,Demo,4,True,False,Adequate,Demo,3,4,Demo,1,True,False,Perfect,Demo,3,4,False,False
86,Disease_7,5,GP,6-10,45-54,Female,DEMO,3,Demo,3,True,False,Perfect,Demo,4,4,Demo,2,True,False,Adequate,Demo,1,5,False,True
87,Disease_15,5,GP,0,55-64,Female,DEMO,3,Demo,4,False,False,Inadequate and dangerous,Demo,4,3,Demo,4,False,False,Adequate,Demo,3,5,False,False
88,Disease_19,5,GP,3-5,45-54,Male,DEMO,1,Demo,3,True,False,Adequate,Demo,1,1,Demo,3,False,True,Perfect,Demo,2,1,False,False
89,Disease_8,5,GP,6-10,35-44,Male,DEMO,1,Demo,1,False,False,Perfect,Demo,2,1,Demo,4,False,False,Perfect,Demo,4,5,True,False
90,Disease_7,5,GP,1-2,55-64,Female,DEMO,2,Demo,4,True,False,Perfect,Demo,4,2,Demo,2,True,False,Adequate,Demo,3,2,True,False
91,Disease_11,5,GP,1-2,55-64,Male,DEMO,2,Demo,4,False,True,Adequate,Demo,4,4,Demo,1,True,True,Perfect,Demo,1,3,False,True
92,Disease_12,5,GP,1-2,35-44,Male,DEMO,1,Demo,2,False,False,Inadequate but harmless,Demo,2,3,Demo,4,False,True,Perfect,Demo,3,3,True,False
93,Disease_18,5,GP,>10,55-64,Male,DEMO,2,Demo,3,False,True,Perfect,Demo,3,3,Demo,3,True,True,Adequate,Demo,2,3,False,False
94,Disease_8,5,GP,6-10,25-34,Female,DEMO,4,Demo,3,True,False,Adequate,Demo,4,5,Demo,3,True,False,Inadequate but harmless,Demo,4,2,False,False
95,Disease_1,5,GP,0,55-64,Male,DEMO,2,Demo,1,True,False,Adequate,Demo,3,2,Demo,3,False,False,Perfect,Demo,3,1,False,False
96,Disease_13,5,GP,3-5,35-44,Male,DEMO,1,Demo,3,True,True,Perfect,Demo,2,2,Demo,3,False,True,Perfect,Demo,2,5,False,True
97,Disease_2,5,GP,>10,55-64,Male,DEMO,3,Demo,1,False,False,Adequate,Demo,4,4,Demo,3,True,True,Adequate,Demo,1,2,True,True
98,Disease_11,5,GP,>10,45-54,Male,DEMO,3,Demo,2,False,False,Inadequate and dangerous,Demo,1,3,Demo,1,False,False,Adequate,Demo,3,1,True,False
99,Disease_13,5,GP,>10,55-64,Male,DEMO,3,Demo,4,False,True,Inadequate and dangerous,Demo,3,3,Demo,3,True,False,Inadequate and dangerous,Demo,4,5,False,False
100,Disease_5,5,GP,6-10,55-64,Female,DEMO,4,Demo,4,True,True,Adequate,Demo,3,4,Demo,1,True,False,Adequate,Demo,1,4,False,False
101,Disease_8,5,GP,3-5,25-34,Male,DEMO,5,Demo,1,True,False,Perfect,Demo,2,5,Demo,2,True,False,Adequate,Demo,1,1,True,True
102,Disease_17,5,GP,3-5,55-64,Male,DEMO,3,Demo,2,False,True,Perfect,Demo,3,3,Demo,1,False,False,Perfect,Demo,3,4,True,False
103,Disease_12,5,GP,3-5,45-54,Male,DEMO,3,Demo,3,False,False,Inadequate but harmless,Demo,2,3,Demo,1,False,True,Perfect,Demo,4,1,False,False
104,Disease_6,5,GP,3-5,35-44,Male,DEMO,4,Demo,4,True,False,Inadequate but harmless,Demo,2,4,Demo,3,True,True,Perfect,Demo,3,3,False,False
105,Disease_9,5,GP,>10,25-34,Female,DEMO,5,Demo,4,True,False,Inadequate but harmless,Demo,3,5,Demo,3,True,False,Inadequate and dangerous,Demo,3,5,False,False
106,Disease_7,5,GP,1-2,35-44,Female,DEMO,4,Demo,1,True,True,Inadequate but harmless,Demo,2,5,Demo,3,True,True,Adequate,Demo,2,5,True,False
107,Disease_4,5,GP,6-10,35-44,Female,DEMO,3,Demo,2,False,False,Inadequate but harmless,Demo,4,3,Demo,2,False,False,Inadequate and dangerous,Demo,4,5,False,False
108,Disease_14,6,NP,0,25-34,Male,DEMO,4,Demo,3,True,True,Adequate,Demo,1,5,Demo,2,True,False,Adequate,Demo,1,3,True,False
109,Disease_10,6,NP,1-2,55-64,Female,DEMO,5,Demo,3,True,False,Adequate,Demo,2,5,Demo,2,True,True,Inadequate and dangerous,Demo,3,4,True,False
110,Disease_19,6,NP,6-10,55-64,Female,DEMO,5,Demo,1,True,True,Inadequate but harmless,Demo,2,5,Demo,2,True,False,Perfect,Demo,1,3,False,True
111,Disease_7,6,NP,3-5,35-44,Male,DEMO,3,Demo,1,False,False,Inadequate and dangerous,Demo,2,4,Demo,4,True,True,Perfect,Demo,2,4,True,True
112,Disease_13,6,NP,1-2,25-34,Male,DEMO,3,Demo,4,False,False,Inadequate and dangerous,Demo,3,3,Demo,1,False,False,Perfect,Demo,1,2,False,False
113,Disease_9,6,NP,6-10,25-34,Male,DEMO,1,Demo,1,False,True,Perfect,Demo,1,3,Demo,4,True,True,Perfect,Demo,4,5,True,False
114,Disease_4,6,NP,>10,45-54,Female,DEMO,5,Demo,2,True,True,Adequate,Demo,4,5,Demo,2,True,True,Perfect,Demo,3,2,True,False
115,Disease_1,6,NP,>10,25-34,Male,DEMO,4,Demo,4,True,True,Adequate,Demo,3,4,Demo,1,True,False,Perfect,Demo,1,2,False,False
116,Disease_16,6,NP,>10,45-54,Male,DEMO,1,Demo,1,False,True,Adequate,Demo,4,1,Demo,2,True,True,Adequate,Demo,4,1,False,False
117,Disease_17,6,NP,3-5,55-64,Female,DEMO,3,Demo,1,False,False,Inadequate and dangerous,Demo,4,3,Demo,2,True,False,Perfect,Demo,2,4,False,False
118,Disease_2,6,NP,1-2,55-64,Female,DEMO,5,Demo,4,True,False,Adequate,Demo,4,5,Demo,2,True,True,Adequate,Demo,4,2,False,True
119,Disease_18,6,NP,0,35-44,Female,DEMO,3,Demo,2,True,True,Perfect,Demo,3,4,Demo,3,True,False,Adequate,Demo,1,4,True,False
120,Disease_17,6,NP,>10,45-54,Female,DEMO,5,Demo,2,True,False,Adequate,Demo,3,5,Demo,2,True,True,Perfect,Demo,3,2,True,True
121,Disease_2,6,NP,0,55-64,Male,DEMO,4,Demo,3,True,False,Adequate,Demo,4,4,Demo,2,True,True,Adequate,Demo,4,2,True,False
122,Disease_1,6,NP,0,35-44,Male,DEMO,4,Demo,4,True,False,Perfect,Demo,3,4,Demo,2,True,True,Adequate,Demo,4,3,False,False
123,Disease_15,6,NP,1-2,25-34,Female,DEMO,5,Demo,3,True,False,Inadequate and dangerous,Demo,4,5,Demo,2,True,False,Adequate,Demo,3,4,False,False
124,Disease_4,6,NP,0,35-44,Male,DEMO,4,Demo,1,True,False,Adequate,Demo,1,4,Demo,4,True,True,Adequate,Demo,3,3,False,False
125,Disease_4,6,NP,3-5,25-34,Male,DEMO,3,Demo,1,False,False,Inadequate but harmless,Demo,4,3,Demo,4,False,False,Perfect,Demo,3,4,True,True
126,Disease_13,6,NP,1-2,25-34,Male,DEMO,3,Demo,2,False,False,Inadequate and dangerous,Demo,4,3,Demo,1,True,False,Inadequate but harmless,Demo,1,3,False,False
127,Disease_12,6,NP,6-10,55-64,Female,DEMO,2,Demo,4,True,False,Inadequate but harmless,Demo,2,4,Demo,3,True,False,Adequate,Demo,2,3,False,False
128,Disease_13,6,NP,6-10,35-44,Female,DEMO,3,Demo,4,False,True,Adequate,Demo,2,4,Demo,4,True,False,Perfect,Demo,1,4,False,True
129,Disease_2,6,NP,0,45-54,Male,DEMO,2,Demo,3,False,True,Perfect,Demo,2,3,Demo,4,False,False,Perfect,Demo,1,3,True,False
130,Disease_3,6,NP,1-2,25-34,Male,DEMO,4,Demo,3,True,True,Adequate,Demo,3,5,Demo,1,True,True,Perfect,Demo,4,5,False,False
131,Disease_9,6,NP,1-2,35-44,Male,DEMO,1,Demo,3,True,True,Inadequate and dangerous,Demo,1,2,Demo,4,True,True,Perfect,Demo,1,4,False,False
132,Disease_13,6,NP,3-5,55-64,Female,DEMO,4,Demo,4,True,False,Inadequate and dangerous,Demo,4,5,Demo,1,True,True,Perfect,Demo,1,5,False,False
133,Disease_12,6,NP,>10,25-34,Male,DEMO,2,Demo,4,False,True,Perfect,Demo,3,2,Demo,1,False,False,Perfect,Demo,2,1,True,False
134,Disease_19,6,NP,0,35-44,Female,DEMO,5,Demo,2,True,False,Adequate,Demo,2,5,Demo,1,True,False,Adequate,Demo,3,2,True,False
135,Disease_15,6,NP,3-5,55-64,Female,DEMO,4,Demo,2,True,True,Inadequate and dangerous,Demo,1,4,Demo,4,True,False,Perfect,Demo,3,5,False,True
136,Disease_17,6,NP,1-2,25-34,Male,DEMO,4,Demo,3,True,True,Adequate,Demo,1,5,Demo,4,True,True,Inadequate and dangerous,Demo,1,3,False,False
137,Disease_17,6,NP,6-10,35-44,Male,DEMO,1,Demo,1,False,False,Inadequate and dangerous,Demo,2,1,Demo,3,False,False,Inadequate and dangerous,Demo,1,4,False,True
138,Disease_7,6,NP,6-10,35-44,Male,DEMO,3,Demo,3,False,True,Adequate,Demo,1,3,Demo,4,False,False,Adequate,Demo,3,1,True,False
139,Disease_19,6,NP,1-2,35-44,Female,DEMO,1,Demo,1,False,True,Inadequate but harmless,Demo,2,2,Demo,2,False,False,Adequate,Demo,2,2,False,True
140,Disease_3,6,NP,3-5,25-34,Male,DEMO,5,Demo,4,True,False,Inadequate and dangerous,Demo,1,5,Demo,3,True,False,Perfect,Demo,2,5,True,False
141,Disease_2,6,NP,3-5,45-54,Female,DEMO,4,Demo,3,True,False,Inadequate but harmless,Demo,4,4,Demo,2,True,True,Perfect,Demo,1,3,False,True
142,Disease_13,6,NP,3-5,55-64,Male,DEMO,5,Demo,3,True,False,Adequate,Demo,4,5,Demo,2,True,False,Perfect,Demo,2,4,False,False
143,Disease_4,6,NP,1-2,25-34,Male,DEMO,5,Demo,3,True,False,Adequate,Demo,1,5,Demo,2,True,False,Perfect,Demo,1,2,False,True
144,Disease_9,6,NP,>10,45-54,Male,DEMO,5,Demo,4,True,True,Adequate,Demo,3,5,Demo,2,True,False,Inadequate and dangerous,Demo,1,1,True,False
145,Disease_7,6,NP,1-2,25-34,Male,DEMO,3,Demo,4,False,True,Perfect,Demo,1,4,Demo,4,True,True,Inadequate but harmless,Demo,1,4,True,False
146,Disease_13,6,NP,1-2,35-44,Female,DEMO,5,Demo,4,True,False,Adequate,Demo,1,5,Demo,2,True,True,Perfect,Demo,1,5,False,False
147,Disease_3,6,NP,1-2,25-34,Male,DEMO,5,Demo,2,True,False,Perfect,Demo,3,5,Demo,4,True,False,Adequate,Demo,2,3,False,False
148,Disease_14,6,NP,3-5,35-44,Male,DEMO,2,Demo,2,False,True,Perfect,Demo,2,2,Demo,4,False,False,Perfect,Demo,3,1,False,True
149,Disease_15,6,NP,3-5,35-44,Female,DEMO,5,Demo,2,True,False,Perfect,Demo,2,5,Demo,4,True,True,Inadequate but harmless,Demo,2,2,False,False
150,Disease_13,6,NP,3-5,55-64,Male,DEMO,1,Demo,1,False,True,Adequate,Demo,1,2,Demo,4,False,True,Perfect,Demo,1,4,False,True
151,Disease_17,6,NP,3-5,55-64,Male,DEMO,1,Demo,1,True,False,Perfect,Demo,1,1,Demo,4,False,True,Adequate,Demo,1,4,True,False
152,Disease_17,6,NP,1-2,25-34,Female,DEMO,4,Demo,2,True,False,Inadequate but harmless,Demo,3,4,Demo,4,True,True,Perfect,Demo,2,2,False,False
153,Disease_19,6,NP,3-5,35-44,Female,DEMO,2,Demo,1,False,False,Inadequate and dangerous,Demo,2,3,Demo,3,False,True,Perfect,Demo,1,3,False,False
154,Disease_11,6,NP,6-10,55-64,Female,DEMO,2,Demo,2,True,False,Adequate,Demo,3,2,Demo,2,False,True,Perfect,Demo,1,3,False,False
155,Disease_16,6,NP,>10,35-44,Male,DEMO,4,Demo,4,True,False,Inadequate and dangerous,Demo,2,4,Demo,2,True,False,Adequate,Demo,4,1,False,False
156,Disease_11,6,NP,>10,55-64,Female,DEMO,2,Demo,3,True,False,Adequate,Demo,3,3,Demo,2,False,False,Inadequate but harmless,Demo,3,3,False,False
157,Disease_8,6,NP,1-2,25-34,Male,DEMO,4,Demo,2,True,False,Inadequate but harmless,Demo,1,5,Demo,2,True,False,Adequate,Demo,4,5,True,False
158,Disease_16,6,NP,3-5,25-34,Male,DEMO,4,Demo,2,True,False,Inadequate but harmless,Demo,2,5,Demo,1,True,False,Perfect,Demo,2,5,False,False
159,Disease_4,6,NP,>10,55-64,Male,DEMO,3,Demo,1,True,False,Adequate,Demo,3,3,Demo,4,True,True,Inadequate but harmless,Demo,4,2,False,False
160,Disease_15,6,NP,0,55-64,Male,DEMO,2,Demo,2,True,False,Adequate,Demo,2,3,Demo,1,False,False,Inadequate but harmless,Demo,3,3,True,False
